GemÃƒÂ¼seproduktion in Wien und Ãƒâ€“sterreich Ã¢â‚¬â€œ AnbauflÃƒÂ¤chen und Ernteergebnisse 2019;;;;;;
GemÃƒÂ¼sesorte;AnbauflÃƒÂ¤che (1);;;Ernte;;
;Wien;Ãƒâ€“sterreich;Anteil Wiens an Ãƒâ€“sterreich;Wien;Ãƒâ€“sterreich;Anteil Wiens an Ãƒâ€“sterreich
;ha;;%;t;;%
GemÃƒÂ¼se insgesamt;824;17999;4,6;72155;611452;11,8
Gurken;141;359;39,2;28200;45264;62,3
Melanzani;3;11;28;720;1173;61,4
Petersilie;23;65;35,4;506;1652;30,6
Paprika;21;149;14,2;4246;14642;29
Paradeiser (Tomaten);48;196;24,5;20100;58332;34,5
Schnittlauch (2);35;463;7,6;700;6977;10
Pfefferoni;2;11;13,4;150;340;44,2
Salate;392;1581;24,8;12945;46762;27,7
Petersilienwurzel;10;107;9,4;220;3342;6,6
Kohlrabi;12;109;11;432;2846;15,2
Brokkoli;2;149;1,3;32;2459;1,3
Radieschen;7;318;2,2;245;6148;4
ÃƒÅ“brige;128;14481;0,9;3659;421515;0,9
Quelle: Statistik Austria Ã¢â‚¬â€œ GemÃƒÂ¼seernteerhebung 2019.;;;;;;
(1) AnbauflÃƒÂ¤che laut Auskunft der Landwirtschaftskammern und Erzeugergenossenschaften, inklusive Mehrfachnutzung.
(2)  Ab 2016: Hektarertrag pro Schnitt; Schnittfrequenz in der FlÃƒÂ¤che berÃƒÂ¼cksichtigt (MehrfachzÃƒÂ¤hlung).;;;;;;
