Gesamtwegzüge nach Gemeindebezirken seit 2011;;;;;;;;
Gemeindebezirk;Berichtsjahr;;;;;;;
;2011;2012;2013;2014;2015;2016;2017;2018
Wien *;68653;68127;71323;73446;76053;82629;82135;82856
1. Innere Stadt;1753;1697;1853;1795;1760;1869;1815;1869
2. Leopoldstadt;12991;13780;11982;12976;13838;14242;14466;14362
3. Landstraße;9272;9372;9610;9708;11619;12431;11601;11631
4. Wieden;3807;4068;4056;4186;4614;5214;5159;5421
5. Margareten;7495;7515;7656;8005;8530;8703;8886;8903
6. Mariahilf;4165;4196;4470;4722;5038;5063;4987;5389
7. Neubau;4266;4193;4187;4342;4532;5190;4895;4958
8. Josefstadt;5002;4897;5197;5669;5913;5963;6487;6353
9. Alsergrund;6676;6785;7009;7048;9156;8934;8464;7950
10. Favoriten;14751;15998;18073;18517;18847;20600;21552;21178
11. Simmering;7772;7622;7704;7964;8876;8867;8868;9098
12. Meidling;9299;9802;9581;10136;11107;11810;12326;12616
13. Hietzing;3965;3906;3898;4069;4469;5216;5360;5122
14. Penzing;7473;7740;8082;8072;8693;9552;10119;9693
15. Rudolfsheim-Fünfhaus;10842;10842;11450;11927;13043;14119;14039;14062
16. Ottakring;11080;11307;11926;12312;13263;13863;14482;14553
17. Hernals;6924;7111;7330;7475;8213;8122;8271;8541
18. Währing;5648;5562;5750;5700;5957;6736;6333;6431
19. Döbling;5953;6164;6584;6194;6495;7153;7482;7334
20. Brigittenau;9744;10082;10699;10337;11435;11498;12239;12307
21. Floridsdorf;9218;9771;9496;10018;10793;11967;12028;12218
22. Donaustadt;8167;8494;8785;9395;10180;11200;11775;11663
23. Liesing;5474;5691;5802;6050;6009;6887;7019;6886
Quelle: Statistik Austria – Wanderungsstatistik und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;
* Summe ohne Wanderungsfälle zwischen den Gemeindebezirken.;;;;;;;;
