Bevölkerung nach Gemeindebezirken 1869 bis 2011;;;;;;;;;;
Gemeindebezirk;Bevölkerungsstand * zum Stichtag der Volkszählungen und Registerzählung **;;;;;;;;;
;1869;1910;1934;1951;1961;1971;1981;1991;2001;2011
Wien ***;900998;2083630;1935881;1616125;1627566;1619885;1531346;1539848;1550261;1714227
1. Innere Stadt;68079;53326;39963;34654;32243;25169;19537;18002;17056;16374
2. Leopoldstadt;68442;162442;135655;106809;108144;102730;95892;93542;90922;96113
3. Landstraße;88678;166981;145963;117948;114572;102025;85887;84336;81287;84527
4. Wieden;55682;62938;53063;45132;46441;39619;31800;31410;28357;30700
5. Margareten;54010;105551;87767;71627;69548;60529;52436;51521;49116;52595
6. Mariahilf;67642;64670;49785;46372;41216;33633;28771;30298;27873;29375
7. Neubau;80043;76447;58571;53183;45544;36255;29490;30396;28305;30019
8. Josefstadt;53012;53804;44321;40475;36027;30151;24769;23850;22582;23529
9. Alsergrund;65910;112042;83407;74731;64929;54788;45314;40416;37821;39291
10. Favoriten;22340;159241;166486;115324;134761;153695;147101;147636;150648;177989
11. Simmering;12848;43111;44258;43317;48590;57738;66026;67045;76901;91087
12. Meidling;30589;106531;109538;83743;89854;85500;79408;79610;78275;88503
13. Hietzing;9808;34883;44157;46995;54191;57068;55331;54909;49580;50626
14. Penzing;12397;84925;98123;83319;86656;81310;78996;80820;78180;84871
15. Rudolfsheim-Fünfhaus;64042;145694;130448;106127;94100;78981;70066;69309;64898;71286
16. Ottakring;31383;179045;150379;117962;110809;101017;88587;88933;86149;95694
17. Hernals;34793;103305;84493;69423;63252;55282;49126;50944;47621;52521
18. Währing;17879;87658;79775;70153;65109;59487;52759;49761;44997;47627
19. Döbling;17924;52676;60927;57727;66171;72387;67522;67377;64033;68307
20. Brigittenau;15922;101326;98021;72855;75671;81647;73696;71876;76267;83356
21. Floridsdorf;12022;62154;89848;68204;80839;105510;116033;119415;128231;143962
22. Donaustadt;3608;26833;41194;53098;57137;80200;99801;106589;136446;161419
23. Liesing;13945;38047;39739;36947;41762;65164;72998;81853;84716;94456
Quelle: Statistik Austria – Volkszählungen.;;;;;;;;;;
* 1869, 1910: anwesende Bevölkerung; 1934–2001: Wohnbevölkerung.
** Volkszählung 2001: Korrigiertes Ergebnis nach Verwaltungsgerichtshofentscheid. 2011 (31. Oktober) erste Registerzählung. 
*** Nach heutigem Gebietsstand.;;;;;;;;;;
