Land- und forstwirtschaftliche Betriebe in Wien;;;;;;;;;;
Betriebsform;Berichtsjahr;;;;;;;;;
;2007;;2010;;2013;;2016;;2020;
;abs,;ha;abs,;ha;abs,;ha;abs,;ha;abs,;ha
Betriebe insgesamt;699;25978;558;22465;548;20159;543;18227;707;17137
Marktfruchtbetriebe;115;4479;84;3865;101;5044;77;3668;65;3875
Futterbaubetriebe;16;158;16;146;12;120;14;105;7;129
Dauerkulturbetriebe;168;837;155;693;144;554;144;1770;173;714
Landwirtschaftl, Gemischtbetriebe;1;137;12;1337;8;1572;5;150;9;1085
Gartenbaubetriebe;273;814;264;1126;256;1014;209;655;196;764
Forstbetriebe;93;14287;26;15298;22;11856;86;11857;256;10550
Veredelungsbetriebe;–;–;1;–;4;–;5;15;–;–
Kombinationsbetriebe;29;5261;–;–;–;–;–;–;1;20
Nicht klassifizierbare Betriebe;4;6;–;–;–;–;3;7;–;–
Quelle: Statistik Austria – Agrarstrukturerhebungen,;;;;;;;;;;
"Anmerkung: Bei den in Klammern stehenden Zahlen beträgt der Bereich des Stichprobenfehlers mehr als ±20 % (bei 95 % statistischer Sicherheit), Rundungsdifferenzen technisch bedingt,
Die Daten ab 2010 sind mit den Vorjahren nicht mehr vergleichbar, da die Betriebe neu klassifiziert wurden (siehe Erläuterungen),";;;;;;;;;;
;;;;;;;;;;
