Schuldendienst in Wien seit 2003;;;;;;;;;;;;;;;;;
Art der Schulden;Berichtsjahr;;;;;;;;;;;;;;;;
;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
;Mio. EUR;;;;;;;;;;;;;;;;
Insgesamt;749,37593824;370,62771401;301,59851738;458,33827057;362,31368887;355,91360387;291,29592981;408,37603201;393,19356998;462,72662191;275,10796916;760,42459753;826,69296052;931,01792597;1930,30616921;1077,67218208;603,33993965
Schulden, deren Schuldendienst ÃƒÂ¼berwiegend aus allgemeinen Deckungsmitteln getragen wird;729,1779171;349,76111133;283,34765665;440,25607532;344,70760948;338,69121709;283,44157766;399,95268149;378,78710373;438,21924544;250,40044152;735,78586859;802,71058844;907,17850105;1907,0127056;1055,07711475;581,224529
Schulden, deren Schuldendienst ÃƒÂ¼berwiegend durch GebÃƒÂ¼hren, Entgelte oder Tarife abgedeckt wird;17,49851071;17,09477623;16,81942967;16,70341578;16,51787351;16,13349797;6,85462497;6,85566899;13,70962238;13,11820344;13,07890409;13,03447025;12,95358049;12,81118615;12,26528281;11,56688652;11,08289774
FÃƒÂ¼r sonstige RechtstrÃƒÂ¤ger aufgenommene Schulden;2,69951043;3,77182645;1,43143106;1,37877947;1,08820588;1,08888881;0,99972718;1,56768153;0,69684387;11,38917303;11,62862355;11,60425869;11,02879159;11,02823877;11,0281808;11,02818081;11,03251291
abzÃƒÂ¼glich BetrÃƒÂ¤ge fÃƒÂ¼r weitergegebene Fremdmittel;-2,69951043;-3,77182645;-1,43143106;-1,37879947;-1,08820588;-1,08888881;-0,99972718;-1,56768153;-0,69684387;-0,70917303;-0,67862355;-0,65425869;-0,07879159;-0,07823877;-0,0781808;-0,07818081;-0,08251291
Nettoaufwand Schuldendienst insgesamt;746,67642781;366,85588756;300,16708632;456,9594711;361,22548299;354,82471506;290,29620263;406,80835048;392,49672611;462,01744888;274,42934561;759,77033884;826,61416893;930,9396872;1930,2;1077,59400127;603,25742674
Quelle: Rechnungsabschluss der Stadt Wien.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
