Abfallaufkommen in Wien seit 2012;;;;;;;;;;;
Abfallart;Berichtsjahr;;;;;;;;;;
;2012;2013,0;2014,0;2015;2016,0;2017,0;2018,0;2019,0;2020,0;2021,0;2022,0
;t;;;;;;;;;;
Abfälle (1);1054799,74;1036879,25;1078938,6;1111651,4999999998;1189607,1;1206114,31;1191244,4999999998;1207825,0485000021;1211870,685899998;1195936,932200001;1167846,522799999
Mischabfälle;632274;627656,73;654903,0;697476,2999999999;763324,9;767897,21;753998,0;775763,4914000016;776476,1749999977;777455,9291000012;757046,780999999
Hausmüll – Behältersammlung;503274,45;508694,6;514001,3;518515,4;522793,2;522655,05;527120,1;525592,0200000016;519061,734999998;515929,67400000076;506698,2579999994
Gewerbeabfälle;59976,69000000006;48519,7;66792,4;103630,2;165355,3;163641,29;145651,9;148869,17399999965;156527,22399999935;162472,3381000004;165123,1859999997
Sperrmüll;23009,65;25672,5;29902,4;32531,5;35493,9;39551,34;40450,8;52871,90940000032;57157,09000000029;54746,66700000009;41908,622000000054
Straßenkehricht;30471,57;31482,1;24061,8;22386,1;20845,4;19971,75;18794,1;17278,267999999956;14596,376999999937;14500,230000000012;14014,567999999945
Sandfangmaterial, Rechengut und Klärschlamm;1390,15;458,02;6614,9;6343,6;3447,2;3019,12;3187,0;9479,880000000005;7413,4;8153,159999999994;8010,220000000001
Hausmüllähnliche Spitalsabfälle;14151,49;12829,81;13530,2;14069,5;15389,9;19058,66;18794,1;21672,239999999954;21720,34900000003;21653,86;21291,926999999956
Inerte Abfälle;70624,32;67609,5;66973,0;66855,2;63352,9;75168,98;75300,2;65260,848;74787,9690000001;62127,80699999998;66772,1049999999
Altstoffe;232324,64;228211,97;227443,8;226447,1;224845,6;231000,78999999998;231288,19999999998;230223,8090000007;225976,63500000036;227478,58899999995;223828,4034
Altpapiere und Pappe;128810,44;127061,55;124983,3;124330,3;121236,20000000001;119764,56;116578,9;115006,79400000055;108934,53500000018;110296,96099999969;103214,93559999985
Verpackungsglas;27661,98;28154,76;28829,6;28751,5;29482,9;30119,82;31235,5;33595,10500000007;34208,83000000001;34884,601000000024;35697,16800000002
Altmetalle;15029,16;12359,99;12507,2;12782,2;13325,699999999999;13578,07;14120,9;15100,424700000085;12293,318000000108;11945,832200000194;10319,06040000007
Kunststoffe;9646,53;9933,63;10769,300000000001;9770,199999999999;10541,8;13252,33;12786,4;14508,014000000021;20475,91999999999;17854,234000000015;18527,949800000017
Holz und Holzpackstoffe;46783,64;43761,39;43712,399999999994;43797,4;42865,1;46784,5;48736,9;43670,15299999998;41671,7040000001;44006,01200000001;48382,56500000008
Speiseöle und -fette;261,24;259,4;256,3;265,7;265,3;264,36;260,5;273,02699999999976;276,8129999999998;291,3910999999999;250,03549999999996
Sonstige;4131,650000000023;6681,25;6385,700000000001;6749,799999999999;7128,599999999999;7237,15;7569,1;8070,291299999988;8115,514999999989;8199,557699999985;7436,689099999996
Biogene Abfälle;112623,32;107237,0;123771,2;115126,5;132278,3;126340,26;125183,4;131060,15800000016;129224,67699999997;123147,6239999999;115342,22830000012
Problemstoffe;6953,460000000001;6164,05;5847,6;5746,4;5805,4;5707,07;5474,700000000001;5516,742099999992;5405,22989999999;5726,983099999989;4857,005099999989
Kfz-Wracks;820,85;733,6;572,1;690,2;873,1;738,91;806,5;797,7920000000001;762,9200000000003;805,84;500,14
Kühlgeräte;1521,48;1419,18;1379,8000000000002;1401,3;1385,7;1407,35;1504,9;1524,2709999999936;1597,8839999999943;1715,507999999993;1655,962999999992
Bleiakkumulatoren;210,18;226,0;224,7;243,6;232,2;207,31;191,7;174,8979999999999;171,491;188,66249999999997;160,6885000000001
Motoröle;91,28;94,4;96,5;121,6;145,0;151,4;155,4;162,10600000000005;163,4340000000002;173,6320000000002;150,89400000000003
Altmedikamente;65,53;63,1;63,1;60,3;54,3;66,03;70,9;111,999;174,67799999999977;312,97060000000005;144,93710000000004
Sonstige gefährliche Abfälle;4244,14;3627,77;3511,4000000000005;3229,4;3115,1;3136,07;2745,3;2745,6760999999988;2534,8228999999956;2530,3699999999953;2244,3824999999965
Quelle: MA 48.;;;;;;;;;;;
(1) Sammlung durch die Stadt Wien Abfallwirtschaft, Straßenreinigung und Fuhrpark.;;;;;;;;;;;
;;;;;;;;;;;
