Anmeldungen von gebrauchten Kraftfahrzeugen und AnhÃƒÂ¤ngern in Wien seit 2003;;;;;;
Jahr;Kraftfahrzeuge;;;;;AnhÃƒÂ¤nger
;insgesamt;Pkw;Lkw;KraftrÃƒÂ¤der *;sonstige **;
2003;144166;124343;8271;10518;1034;1589
2004;146594;127872;8186;9601;935;1510
2005;145631;126636;8151;9879;965;1363
2006;143446;124361;8057;9750;1278;1450
2007;140034;120722;7772;10575;965;1411
2008;138269;118657;8095;10629;888;1455
2009;141679;122299;7795;10700;885;1383
2010;142066;122856;7957;10360;893;1404
2011;144780;124632;8166;11192;790;1421
2012;147764;126609;8587;11710;858;1415
2013;144189;123343;8324;11573;949;1654
2014;142299;121488;8112;11734;965;1532
2015;143379;122800;8127;11537;915;1578
2016;148132;127418;7997;11818;899;1508
2017;150851;129757;8441;11705;948;1567
2018;151641;130383;8803;11566;889;1482
2019;153113;131482;9283;11481;867;1601
Quelle: Statistik Austria Ã¢â‚¬â€œ Kfz-Gebrauchtzulassungen.;;;;;;
* MotorrÃƒÂ¤der, Klein- und LeichtmotorrÃƒÂ¤der, MotorfahrrÃƒÂ¤der, Motordrei- und -vierrÃƒÂ¤der sowie mehrspurige Leichtkraftfahrzeuge.
** Omnibusse, Zugmaschinen und selbstfahrende Arbeitsmaschinen (einschlieÃƒÅ¸lich sonstige Kfz).;;;;;;
