Lehrabschlussprüfungen in Wien nach Geschlecht seit 2000;;;;;;;;;;;
Jahr;Insgesamt;Geschlecht;;Lehrabschlussprüfungen;;;;;;;
;;;;Antritte;;;;davon haben…;;;
;;Männer;Frauen;Erstantritte;;Wiederholungen;;bestanden;;nicht bestanden;
;;;;Geschlecht;;Geschlecht;;Geschlecht;;Geschlecht;
;;;;Männer;Frauen;Männer;Frauen;Männer;Frauen;Männer;Frauen
2000;6831;4452;2379;4260;2306;192;73;3590;2084;862;295
2001;7103;4508;2595;3997;2430;511;165;3696;2274;812;321
2002;7065;4561;2504;4065;2272;496;232;3776;2188;785;316
2003;6879;4530;2349;4034;2170;496;179;3817;2100;713;249
2004;7381;4711;2670;4424;2566;287;104;3843;2355;868;315
2005;7476;4701;2775;4454;2664;247;111;4025;2484;676;291
2006;7730;4933;2797;4665;2696;268;101;4136;2441;797;356
2007;8115;5205;2910;4929;2808;276;102;4302;2532;903;378
2008;8398;5129;3269;4844;3146;285;123;4148;2853;981;416
2009;9461;5887;3574;5527;3423;360;151;4705;3137;1182;437
2010;10009;6154;3855;5753;3682;401;173;4898;3382;1256;473
2011;9331;5867;3464;5497;3293;370;171;4678;2945;1189;519
2012;10138;6353;3785;5940;3559;413;226;5085;3133;1268;652
2013;10724;6700;4024;6281;3773;419;251;5425;3294;1275;730
2014;11079;6890;4189;6358;3849;532;340;5468;3317;1422;872
2015;10769;6477;4292;5927;3943;550;349;4990;3418;1487;874
2016;10797;6417;4380;5765;4041;652;339;4801;3494;1616;886
2017;10688;6307;4381;5693;4040;614;341;4705;3451;1602;930
Quelle: Wirtschaftskammer Wien.;;;;;;;;;;;
