Lehrpersonal in Wien nach Schultypen seit 2006/07;;;;;;;;;;;;;;;;
Schultyp;Schuljahr;;;;;;;;;;;;;;;
;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20;2020/21;2021/22
Lehrpersonal insgesamt (1);22173;22765;23813;24149;24174;24401;24597;24996;25281;25808;26321;27259,99999999949;27233;27360;27540,000000000113;28200
Allgemein bildende Pflichtschulen;11474;11496;11797;11884;11732;11663;11674;11909;12182;12867;13151;13857,000000000035;13729;13998;14298;14673
Allgemein bildende höhere Schulen;5941;6063;6128;6261;6463;6613;6812;6888;6932;6800;6918;7119;7164;7092;7003;7068
Sonstige allgemein bildende (Statut-)Schulen;203;601;655;667;662;659;671;704;720;727;747;771;815;799;804;844
Berufsschulen;810;889;929;937;953;946;929;901;901;888;893;881;883;871;856;869
Berufsbildende mittlere und höhere Schulen (2);3497;3463;3583;3648;3664;3757;3750;3786;3775;3737;4253;4317,651127174707;4317;4293;4256;4376
Sonstige berufsbildende (Statut-)Schulen;;;385;395;324;358;353;368;305;306;359;314,3488728252877;325;307;324;370
Lehrerbildende höhere Schulen (2);248;253;336;357;376;405;408;440;466;483;0;0;0;0;0;0
Quelle: Statistik Austria - Schulstatistik.;;;;;;;;;;;;;;;;
"(1) Inklusive Karenzierte. Ohne Lehrpersonen an Bundessportakademien und Schulen des Gesundheitswesens.
Das beim Schultyp Neue Mittelschulen eingesetzte Lehrpersonal wird – je nachdem, bei welchem Schultyp die Neue Mittelschule geführt wird – bei Hauptschulen bzw. allgemein bildenden höheren Schulen ausgewiesen. 
(2) Die bislang in der Kategorie ""Lehrerbildende höhere Schulen"" erfassten Bildungsanstalten für Elementar- bzw. Sozialpädagogik werden ab 2016/17 bei den Berufsbildenden höheren Schulen ausgewiesen.";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
