AuÃƒÅ¸enwanderungsstrÃƒÂ¶me nach BundeslÃƒÂ¤ndern seit 2011;;;;;;;;;;
Jahr;Ãƒâ€“sterreich;BundeslÃƒÂ¤nder;;;;;;;;
;;Burgenland;KÃƒÂ¤rnten;NiederÃƒÂ¶sterr.;OberÃƒÂ¶sterr.;Salzburg;Steiermark;Tirol;Vorarlberg;Wien
ZuzÃƒÂ¼ge;;;;;;;;;;
2011;124619;3265;4896;14670;14821;8186;13027;11678;5231;48845
2012;140358;3455;5369;16760;16686;8779;14146;12990;5512;56661
2013;151280;3296;6428;16676;18029;9595;15162;13905;6475;61714
2014;170115;3751;7569;21003;22068;10273;17644;14625;6808;66374
2015;214410;4513;10872;28855;29456;13861;22330;17818;8642;78063
2016;174310;3379;9767;19931;22558;11754;17839;15507;7434;66141
2017;154749;2575;6465;16742;19205;10709;15651;14581;6927;61894
2019;146856;2463;6137;15698;18804;10434;15501;14455;6840;56524
2019;150419;2474;6281;15708;19360;11178;15940;13955;7153;58370
WegzÃƒÂ¼ge;;;;;;;;;;
2011;93914;2165;3373;10552;9845;6478;9760;8974;4325;38442
2012;96561;2159;3668;11295;10138;6722;10473;9810;4756;37540
2013;96552;2095;3870;11147;9606;7012;9997;9005;4448;39372
2014;97791;1933;3814;10789;9754;6725;10095;9276;4700;40705
2015;101343;1647;4163;11787;11371;6896;10497;9731;5130;40121
2016;109634;2230;4314;12887;11440;7012;11496;10389;4864;45002
2017;110119;1962;4569;12570;11932;7544;11146;10375;5323;44698
2018;111555;1960;4543;12509;11947;7514;11730;10868;5552;44932
2019;109806;1857;4143;12227;12404;7678;11494;10541;5618;43844
Saldo;;;;;;;;;;
2011;30705;1100;1523;4118;4976;1708;3267;2704;906;10403
2012;43797;1296;1701;5465;6548;2057;3673;3180;756;19121
2013;54728;1201;2558;5529;8423;2583;5165;4900;2027;22342
2014;72324;1818;3755;10214;12314;3548;7549;5349;2108;25669
2015;113067;2866;6709;17068;18085;6965;11833;8087;3512;37942
2016;64676;1149;5453;7044;11118;4742;6343;5118;2570;21139
2017;44630;613;1896;4172;7273;3165;4505;4206;1604;17196
2018;35301;503;1594;3189;6857;2920;3771;3587;1288;11592
2019;40613;617;2138;3481;6956;3500;4446;3414;1535;14526
Quelle: Statistik Austria Ã¢â‚¬â€œ Wanderungsstatistik.;;;;;;;;;;
